3 50 4
26841.9 11989.1 35906.8  6832.83 2998.99 9032.3  1734.26 753.974 2280.76  437.789 193.166 580.65  
25238.6 11354.5 33879  7457.73 3285.13 9892.92  2310.87 964.97 2977.72  692.336 279.78 879.893  
35494.3 15809.8 47428.8  497.217 188.094 563.488  8.25516 2.07259 7.58271  0.196546 0.0228436 0.121516  
13560 6072.45 18144.5  8510.29 3752.83 11316.1  5247.23 2345.54 7018.92  3270.61 1454.56 4361.59  
15817.9 6965.79 21030.7  8844.98 3921.5 11766  4969.23 2209.67 6638.3  2790.77 1260.12 3736.68  
15817.9 6965.79 21030.7  8844.98 3921.5 11766  4969.23 2209.67 6638.3  2795.44 1266.29 3750.41  
34497.4 15172.5 45862.6  1429.33 771.931 2021.67  70.2553 53.0453 110.841  2.93353 2.3927 4.70115  
35494.3 15809.8 47428.8  497.795 187.797 564.236  7.77836 2.34882 6.86679  0.0968449 0.0431334 0.0898199  
10419.6 4580.48 13850.1  7399.31 3284.81 9875.27  5224.12 2285.04 6923.61  3741.95 1660.68 4982.17  
34497.4 15172.5 45862.6  1435.29 788.381 2044.71  64.4618 37.4152 88.8451  2.76724 1.60457 3.69115  
34497.4 15172.5 45862.6  1438.72 787.886 2045.73  61.0543 37.7229 87.6959  2.75223 1.78873 3.83023  
35588 15728.7 47383.6  405.54 266.758 606.194  6.38753 4.38078 10.0145  0.0819524 0.123768 0.168553  
14007 6207.32 18662.6  8561.56 3767.7 11373.4  5205.57 2347.4 6983.44  3196.96 1408.12 4241.55  
